■ 성남시 아동수당 지원 가능 가맹점 ,,,,,,
,,,(2018년 7월 기준),,,
소재지,가맹점번호,가맹점명,세부주소,,,
성남시분당구,0010205169,분당동물병원,경기  성남시  분당구  이매동,,,
성남시분당구,0010222552,주)골프코리아,"경기 성남시 분당구 야탑로 26,",,,
성남시분당구,0010225381,준스쿠바다이빙스쿨,"경기 성남시 분당구 성남대로779번길 54,",,,
성남시분당구,0010225472,미치코런던학생복(아이니),경기 성남시 분당구 불정로87번길 17,,,
성남시분당구,0010239317,(주)애드굳,경기 성남시 분당구 미금일로74번길 4,,,
성남시분당구,0010264166,서울미래치과의원,경기  성남시  분당구  구미동,,,
성남시분당구,0010268803,연세수치과,"경기 성남시 분당구 야탑로69번길 3,",,,
성남시분당구,0010270445,마임 분당구미지사,"경기 성남시 분당구 미금로 48,",,,
성남시분당구,0010273530,노엘치과의원,경기 성남시 분당구 성남대로779번길 50,,,
성남시분당구,0010304780,컴소네트,"경기 성남시 분당구 돌마로 85,",,,
성남시분당구,0010316081,성남농업협동조합초림역지소,경기 성남시 분당구 백현로101번길 22,,,
성남시분당구,0010388528,하성한의원,"경기 성남시 분당구 분당내곡로 151,",,,
성남시분당구,0010395903,주식회사고려인삼창영,경기 성남시 분당구 야탑로139번길 6-13,,,
성남시분당구,0010435352,싱싱회센타,"경기 성남시 분당구 돌마로366번길 40,",,,
성남시분당구,0010438281,서현사,"경기 성남시 분당구 서현로210번길 20,",,,
성남시분당구,0010503274,이병헌철판요리,"경기 성남시 분당구 분당로53번길 13,",,,
성남시분당구,0010555480,(주)분당중앙학원,경기 성남시 분당구 야탑로75번길 5,,,
성남시분당구,0010565026,(주)미우커뮤니케이션즈,"경기 성남시 분당구 불정로 258,",,,
성남시분당구,0010594067,류장춘치과의원,"경기 성남시 분당구 양현로94번길 21,",,,
성남시분당구,0010626687,안집,경기 성남시 분당구 새마을로51번길 5,,,
성남시분당구,0010631315,동국대학교한의과대학분당한방,경기 성남시 분당구 불정로 268,,,
성남시분당구,0010651776,분당종합피아노,"경기 성남시 분당구 성남대로 345,",,,
성남시분당구,0010656775,분당유리,경기  성남시  분당구  서현동,,,
성남시분당구,0010672095,돔,"경기 성남시 분당구 서현로429번길 18,",,,
성남시분당구,0010699007,이동준골프스쿨,경기  성남시  분당구  미금로,,,
성남시분당구,0010704971,의정부부대찌개,"경기 성남시 분당구 운중로138번길 28-8,",,,
성남시분당구,0010706174,스파게티가있는풍경,경기 성남시 분당구 새마을로165번길 8,,,
성남시분당구,0010708295,허동석한의원,"경기 성남시 분당구 백현로 97,",,,
성남시분당구,0010724896,초원골프스쿨,"경기 성남시 분당구 구미로 60,",,,
